,dep,date,month,tx_incid
18182,46,2021-02-15,2021-02,104.52398276798
18210,46,2021-03-15,2021-03,80.8472794890452
18386,47,2020-08-15,2020-08,8.77894023055313
18417,47,2020-09-15,2020-09,56.911750460137604
18447,47,2020-10-15,2020-10,113.520778843359
18478,47,2020-11-15,2020-11,240.966773224838
18508,47,2020-12-15,2020-12,128.959604766056
18539,47,2021-01-15,2021-01,181.935968226291
18570,47,2021-02-15,2021-02,100.201007459072
18598,47,2021-03-15,2021-03,130.170493073719
18774,48,2020-08-15,2020-08,7.865139081876099
18805,48,2020-09-15,2020-09,48.501691004902604
18835,48,2020-10-15,2020-10,178.276485855858
18866,48,2020-11-15,2020-11,364.418110793593
18896,48,2020-12-15,2020-12,127.153081823664
18927,48,2021-01-15,2021-01,249.062737592743
18958,48,2021-02-15,2021-02,175.65477282856602
18986,48,2021-03-15,2021-03,167.78963374669
19162,49,2020-08-15,2020-08,16.1788300009438
19193,49,2020-09-15,2020-09,73.9078370497658
19223,49,2020-10-15,2020-10,165.587873721781
19254,49,2020-11-15,2020-11,235.083302589471
19284,49,2020-12-15,2020-12,100.87255371800501
19315,49,2021-01-15,2021-01,130.043474477283
19346,49,2021-02-15,2021-02,150.389578872409
19374,49,2021-03-15,2021-03,213.634096148826
19550,50,2020-08-15,2020-08,4.89128108765787
19581,50,2020-09-15,2020-09,27.9210628753803
19611,50,2020-10-15,2020-10,84.37459876209829
19642,50,2020-11-15,2020-11,126.358094764495
19672,50,2020-12-15,2020-12,43.4101196529636
19703,50,2021-01-15,2021-01,194.4284232344
19734,50,2021-02-15,2021-02,129.415145444281
19762,50,2021-03-15,2021-03,123.504847463361
19938,51,2020-08-15,2020-08,13.302046918979899
19969,51,2020-09-15,2020-09,91.51808280258172
19999,51,2020-10-15,2020-10,157.318874895136
20030,51,2020-11-15,2020-11,179.66631371902199
20060,51,2020-12-15,2020-12,147.209319236711
20091,51,2021-01-15,2021-01,215.138438836301
20122,51,2021-02-15,2021-02,148.27348299022898
20150,51,2021-03-15,2021-03,254.867218967655
20326,52,2020-08-15,2020-08,4.72673559822747
20357,52,2020-09-15,2020-09,46.0856720827179
20387,52,2020-10-15,2020-10,109.30576070900999
20418,52,2020-11-15,2020-11,434.26883308714895
20448,52,2020-12-15,2020-12,277.695716395864
20479,52,2021-01-15,2021-01,241.063515509601
20510,52,2021-02-15,2021-02,153.618906942393
20538,52,2021-03-15,2021-03,184.93353028065
20714,53,2020-08-15,2020-08,22.2684328590375
20745,53,2020-09-15,2020-09,47.1566813485501
20775,53,2020-10-15,2020-10,120.83899595566002
20806,53,2020-11-15,2020-11,260.671655232263
20836,53,2020-12-15,2020-12,123.458811586135
20867,53,2021-01-15,2021-01,172.90783161135
20898,53,2021-02-15,2021-02,93.98588574329081
20926,53,2021-03-15,2021-03,163.083522997069
21102,54,2020-08-15,2020-08,13.554253982075501
21133,54,2020-09-15,2020-09,58.7351005889939
21163,54,2020-10-15,2020-10,159.365168031676
21194,54,2020-11-15,2020-11,225.76732137820701
21224,54,2020-12-15,2020-12,262.185821976511
21255,54,2021-01-15,2021-01,225.630409721823
21286,54,2021-02-15,2021-02,185.51529440113498
21314,54,2021-03-15,2021-03,259.858323817973
21490,55,2020-08-15,2020-08,9.90965696070821
21521,55,2020-09-15,2020-09,33.0321898690274
21551,55,2020-10-15,2020-10,78.7267191878486
21582,55,2020-11-15,2020-11,208.65333267268997
21612,55,2020-12-15,2020-12,301.143464305966
21643,55,2021-01-15,2021-01,264.257518952219
21674,55,2021-02-15,2021-02,142.038416436818
21702,55,2021-03-15,2021-03,241.1349860439
21878,56,2020-08-15,2020-08,6.8822578040833
21909,56,2020-09-15,2020-09,46.455240177562295
21939,56,2020-10-15,2020-10,73.05781361257651
21970,56,2020-11-15,2020-11,122.95418269218
22000,56,2020-12-15,2020-12,46.322889065945304
22031,56,2021-01-15,2021-01,94.63104480614531
22062,56,2021-02-15,2021-02,93.70458702482641
22090,56,2021-03-15,2021-03,135.26283607256
22266,57,2020-08-15,2020-08,13.3221864604109
22297,57,2020-09-15,2020-09,36.9738943067926
22327,57,2020-10-15,2020-10,117.582776150583
22358,57,2020-11-15,2020-11,284.689332403998
22388,57,2020-12-15,2020-12,218.368012851083
22419,57,2021-01-15,2021-01,204.756213641533
22450,57,2021-02-15,2021-02,285.17202031922994
22478,57,2021-03-15,2021-03,295.984229620434
22654,58,2020-08-15,2020-08,4.50910839896591
22685,58,2020-09-15,2020-09,41.583999679352296
22715,58,2020-10-15,2020-10,109.220625663841
22746,58,2020-11-15,2020-11,217.940239283352
22776,58,2020-12-15,2020-12,182.869396180284
22807,58,2021-01-15,2021-01,259.02322691837503
22838,58,2021-02-15,2021-02,167.338022806068
22866,58,2021-03-15,2021-03,249.50399807611402
23042,59,2020-08-15,2020-08,27.8487192679147
23073,59,2020-09-15,2020-09,187.94988621036498
23103,59,2020-10-15,2020-10,472.34672389366
23134,59,2020-11-15,2020-11,324.064846959507
23164,59,2020-12-15,2020-12,118.772277044158
23195,59,2021-01-15,2021-01,175.705719763861
23226,59,2021-02-15,2021-02,248.55271635094502
23254,59,2021-03-15,2021-03,412.09151992979497
23430,60,2020-08-15,2020-08,12.1200809136602
23461,60,2020-09-15,2020-09,64.9636336972186
23491,60,2020-10-15,2020-10,218.04025563674702
23522,60,2020-11-15,2020-11,241.189610181838
23552,60,2020-12-15,2020-12,113.32275654272301
23583,60,2021-01-15,2021-01,231.008742214363
23614,60,2021-02-15,2021-02,233.675160015368
23642,60,2021-03-15,2021-03,404.325899279704
23818,61,2020-08-15,2020-08,10.111844219817
23849,61,2020-09-15,2020-09,41.530788759962896
23879,61,2020-10-15,2020-10,87.0340877491396
23910,61,2020-11-15,2020-11,243.76767315630403
23940,61,2020-12-15,2020-12,194.291863937913
23971,61,2021-01-15,2021-01,207.292806506249
24002,61,2021-02-15,2021-02,98.2293438496513
24030,61,2021-03-15,2021-03,223.18284742310502
24206,62,2020-08-15,2020-08,9.843210731440038
24237,62,2020-09-15,2020-09,106.34797608444
24267,62,2020-10-15,2020-10,225.705510408335
24298,62,2020-11-15,2020-11,340.038188904292
24328,62,2020-12-15,2020-12,140.833630465219
24359,62,2021-01-15,2021-01,175.388118487477
24390,62,2021-02-15,2021-02,269.139538181333
24418,62,2021-03-15,2021-03,451.961689948499
24594,63,2020-08-15,2020-08,6.967163455713071
24625,63,2020-09-15,2020-09,76.032957712347
24655,63,2020-10-15,2020-10,236.58063734399602
